Strategy Name,Number of Trades,Average Profit %,Total Profit %,Net Profit USDT,Net Profit %,Average Duration,Win/Draw/Loss Win%,Drawdown,Sharpe
AlligatorStrategy_1h,80,-1.36,-108.95,-2101.534,-21.02,3 days 0:04:00,22     0    58  27.5,2158.729 USDT  21.87%,-1.71
ElliotV8_original_ichiv2_1h,174,-0.15,-26.81,-978.28,-9.78,1 day 12:01:00,153     0    21  87.9,2649.17 USDT  27.11%,-0.72
Ichimoku_v32_1h,81,-7.29,-590.42,-7220.674,-72.21,9 days 21:07:00,11     0    70  13.6,7136.291 USDT  72.47%,-5.59
NASOSv4_1h,230,-0.71,-162.58,-3012.724,-30.13,21:03:00,126     0   104  54.8,3701.344 USDT  36.93%,-2.99
NotAnotherSMAOffsetStrategyHOv3_1h,149,0.81,120.04,2537.163,25.37,18:45:00,119     0    30  79.9,857.992 USDT  8.71%,2.66
PrawnstarOBV_1h,383,-0.69,-263.23,-5313.286,-53.13,2 days 13:40:00,274     2   107  71.5,6426.501 USDT  63.50%,-4.3
SupertrendStrategy_1h,247,-1.67,-411.99,-5926.401,-59.26,1 day 21:21:00,55     0   192  22.3,6032.858 USDT  61.11%,-6.78
AlligatorStrategy_4h,17,-7.54,-128.19,-2306.309,-23.06,7 days 16:56:00,2     0    15  11.8,2319.747 USDT  23.46%,-1.95
ElliotV8_original_ichiv2_4h,209,0.27,56.37,516.1,5.16,1 day 4:14:00,187     0    22  89.5,4815.281 USDT  37.38%,0.34
Ichimoku_v32_4h,18,-13.35,-240.27,-4014.772,-40.15,31 days 9:33:00,1     0    17   5.6,3761.775 USDT  38.59%,-1.73
NotAnotherSMAOffsetStrategyHOv3_4h,164,0.92,151.31,3227.511,32.28,1 day 11:19:00,131     0    33  79.9,2738.252 USDT  18.92%,1.84
PrawnstarOBV_4h,351,-0.47,-164.74,-4138.168,-41.38,2 days 16:22:00,255     0    96  72.6,5400.029 USDT  52.99%,-2.89
SupertrendStrategy_4h,54,-2.95,-159.16,-2887.864,-28.88,6 days 13:51:00,14     0    40  25.9,2991.152 USDT  30.46%,-1.93
AlligatorStrategy_5m,1628,-0.3,-490.42,-6377.237,-63.77,6:06:00,390     0  1238  24.0,6710.052 USDT  67.24%,-22.59
ElliotV8_original_ichiv2_5m,45,1.52,68.43,1439.152,14.39,20:39:00,43     0     2  95.6,472.846 USDT  3.97%,1.75
Ichimoku_v32_5m,737,-0.52,-384.42,-5898.147,-58.98,1 day 4:29:00,223     0   514  30.3,6350.573 USDT  63.57%,-9.02
NASOSv4_5m,58,0.51,29.65,591.353,5.91,6:18:00,33     0    25  56.9,354.223 USDT  3.24%,0.85
NASOSv5_mod1_5m,33,3.15,103.89,2250.448,22.5,17:08:00,32     0     1  97.0,187.251 USDT  1.51%,4.5
NASOSv5_mod3_5m,36,3.62,130.35,2896.864,28.97,18:08:00,35     0     1  97.2,87.109 USDT  0.67%,8.13
NotAnotherSMAOffsetStrategyHOv3_5m,25,0.04,0.88,11.36,0.11,4:33:00,17     0     8  68.0,334.247 USDT  3.23%,0.02
PrawnstarOBV_5m,365,-1.05,-382.79,-6240.053,-62.4,2 days 17:40:00,259     3   103  71.0,6858.328 USDT  67.83%,-5.56
SupertrendStrategy_5m,3392,-0.19,-629.45,-7331.205,-73.31,4:08:00,958     0  2434  28.2,7621.794 USDT  76.43%,-30.43
AlligatorStrategy_15m,449,-0.51,-230.33,-3864.204,-38.64,19:35:00,115     0   334  25.6,4276.971 USDT  42.95%,-6.23
ElliotV8_original_ichiv2_15m,140,0.51,71.81,1400.137,14.0,1 day 2:52:00,129     0    11  92.1,1105.755 USDT  10.70%,1.12
Ichimoku_v32_15m,283,-1.86,-527.28,-6913.716,-69.14,3 days 0:59:00,76     0   207  26.9,7148.648 USDT  71.68%,-7.97
NASOSv4_15m,175,0.55,96.1,1981.365,19.81,9:35:00,123     0    52  70.3,1064.623 USDT  9.14%,2.07
NASOSv5_mod1_15m,49,3.17,155.42,3563.327,35.63,1 day 10:10:00,46     0     3  93.9,292.747 USDT  2.16%,6.03
NASOSv5_mod3_15m,71,3.06,217.4,5329.485,53.29,1 day 9:37:00,68     0     3  95.8,433.444 USDT  2.88%,9.75
NotAnotherSMAOffsetStrategyHOv3_15m,75,1.34,100.28,2188.886,21.89,7:14:00,63     0    12  84.0,373.571 USDT  3.18%,3.4
PrawnstarOBV_15m,406,-0.74,-301.78,-5700.088,-57.0,2 days 10:52:00,294     0   112  72.4,6596.121 USDT  65.42%,-4.97
SupertrendStrategy_15m,1026,-0.38,-394.52,-5710.088,-57.1,13:00:00,283     0   743  27.6,6061.193 USDT  60.98%,-11.78
